ticker,market,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,priceToBook,debtToEquity,returnOnEquity,currentRatio,trailingEps,Total Non Current Assets,Working Capital,Operating Income,ttm_latest,Free Cash Flow,avg_MF_ROC,beta,price_current,price_past,MF_EarningYield,current_MF_ROC,FCF_Yield,PE_offset_Cash,PE,PriceIndex_6m,percenFCFpersharetoprice
AIMCG.bk,SET,2025-02-05,REIT - Retail,Real Estate,926516672.0,0.707,0.114020005,0.2940282,8.729,0.0139999995,6.666,-0.02,2704073510.0,409064680.0,174430824.0,2024-09-30,39924579.0,0.0755,0.23617523921842,2.880000114440918,3.0876622200012207,0.18826517565352563,0.056030543250635466,0.0430910529799943,-108.6500057220459,-144.0000057220459,0.93274455210317,0.24548610135636986
AIMIRT.bk,SET,2025-02-05,REIT - Industrial,Real Estate,11667124224.0,0.644,0.71123004,0.84340274,38.785,0.079050004,13.361,0.92,13111472000.0,254876000.0,662995627.0,2024-09-30,-890564000.0,0.0616,0.03779914939700747,10.5,10.536585807800293,0.05682596793099852,0.049601852877091034,-0.07633106349961154,10.713043478260868,11.41304347826087,0.9965277359794091,0.06133333333333334
AIT.bk,SET,2025-02-05,Information Technology Services,Technology,4839760896.0,1.249,0.08015,1.6102941,2.266,0.14579001,2.346,0.39,848273000.0,3464558000.0,724544500.0,2024-09-30,222112500.0,0.1891,0.7232252708258436,4.360000133514404,3.680922269821167,0.14970667261658044,0.16799742442956841,0.04589327960056314,7.9769234192677025,11.179487521831806,1.1844857929385804,0.28646788113587424
AJ.bk,SET,2025-02-05,Packaging & Containers,Consumer Cyclical,11246693376.0,0.683,-0.020399999,0.2625728,145.043,-0.042090002,0.861,-0.48,10840114000.0,-775970000.0,-196575271.0,2024-09-30,-258035000.0,0.0354,1.1452398347288428,2.4600000381469727,5.099999904632568,-0.01747849473868327,-0.01953223950293239,-0.022943187955193702,-3.7020834128061932,-5.12500007947286,0.48235295767602654,0.27764227211739345
AJA.bk,SET,2025-02-05,Electronics & Computer Distribution,Technology,757504896.0,0.017,-0.15071,0.92198575,5.851,-0.06486,4.879,-0.01,616187000.0,160070000.0,-134338905.0,2024-09-30,-49718000.0,-0.1426,1.115361069445017,0.12999999523162842,0.1599999964237213,-0.17734394287004054,-0.1730598307003995,-0.0656338992164085,-11.29999952316284,-12.999999523162842,0.8124999883584676,0.13076923556581777
AKR.bk,SET,2025-02-05,Electrical Equipment & Parts,Industrials,1799447296.0,0.071,0.103190005,0.91595846,30.461,0.16851999,2.067,0.17,756675443.0,952445589.0,328296940.0,2024-09-30,-78133749.5,0.1325,0.40506036367944726,0.9700000286102295,0.8399999737739563,0.1824432094953672,0.19208524958342446,-0.04342097135808528,5.288235462413114,5.705882521236644,1.1547619748750804,0.07319587412974148
AKS.bk,SET,2025-02-05,Real Estate - Development,Real Estate,1622232320.0,0.001,-0.21360001,0.35714284,27.618,-0.07774,0.412,-0.01,5125737000.0,-2721038000.0,-504509000.0,2024-09-30,-238482500.0,-0.1528,0.0,0.009999999776482582,0.009999999776482582,-0.3109967627817944,-0.20980130985208545,-0.14700884519425678,-0.8999999776482581,-0.9999999776482582,1.0,0.10000000223517423
ALLA.bk,SET,2025-02-05,Industrial Distribution,Industrials,717270016.0,0.486,0.14716,0.92317617,0.766,0.12958999,4.207,0.21,353982000.0,651331000.0,152334770.0,2024-09-30,9778000.0,0.0767,0.4779653959000661,1.4900000095367432,1.4700000286102295,0.2123813439874782,0.1515296927424593,0.013632244178460123,4.7809524263654435,7.095238140651158,1.013605428936911,0.32617449455661585
ALLY.bk,SET,2025-02-05,REIT - Diversified,Real Estate,8491987968.0,0.726,0.24298,0.51710016,54.835,0.04797,11.16,0.54,13165132000.0,-131877000.0,754125546.0,2024-09-30,-137965000.0,0.0489,0.31876265601493164,5.050000190734863,4.315649509429932,0.0888043587487099,0.05786164285130614,-0.016246490282356463,8.007407760620117,9.351852205064562,1.1701599445692554,0.14376237080782253
ALT.bk,SET,2025-02-05,Communication Equipment,Technology,1482873856.0,0.207,0.021259999,0.6638714,37.453,0.018919999,1.174,0.02,2852798922.0,190328481.0,51138652.0,2024-09-30,44833630.5,-0.0309,0.29065966644758834,0.9800000190734863,1.2400000095367432,0.034486178168886675,0.016804637212883722,0.030234284810265074,38.650000953674315,49.000000953674316,0.7903225899486958,0.21122448568491087
AMANAH.bk,SET,2025-02-05,Credit Services,Financial Services,3761891072.0,0.17,0.06974,0.5837075,147.109,0.03821,0.424,0.02,3293435551.0,-1418887632.0,7680378.0,2024-09-30,154749573.5,0.113,1.9573630809604137,0.8999999761581421,1.1399999856948853,0.002041626898015616,0.0040971894728074965,0.04113611227390691,36.499998807907104,44.999998807907104,0.7894736732032049,0.18888889389273575
AMARIN.bk,SET,2025-02-05,Publishing,Communication Services,2996690432.0,0.854,0.04788,0.58848435,2.97,0.042519998,2.165,0.12,3889170000.0,1165371000.0,111852851.0,2024-09-30,70870500.0,0.0658,0.4414110828293009,2.7799999713897705,3.8399999141693115,0.03732546071679118,0.022129180671400232,0.023649589975398566,16.04999976158142,23.16666642824809,0.7239583420644826,0.30719424776579063
AMATA.bk,SET,2025-02-05,Real Estate - Development,Real Estate,54280425472.0,2.798,0.15531,1.3629965,69.242,0.09445,1.209,1.83,41234241000.0,4011807000.0,2789664075.0,2024-09-30,1619511000.0,0.0499,0.8890646257094924,25.25,22.628673553466797,0.051393555793681454,0.06165541960703397,0.0298360041565151,12.268852459016392,13.797814207650273,1.1158409236997282,0.11081188118811881
AMATAR.bk,SET,2025-02-05,REIT - Industrial,Real Estate,3337664000.0,0.056,0.59935004,0.65014225,27.083,0.06594,2.727,0.67,4653665000.0,-134521000.0,345295051.0,2024-09-30,69978000.0,0.0645,0.21225568343844853,6.400000095367432,5.8483781814575195,0.10345410772324595,0.07640718043063023,0.020966160763935496,9.46865685875736,9.552238948309599,1.0943204930999244,0.008749999869614842
AMATAV.bk,SET,2025-02-05,Real Estate Services,Real Estate,9812261888.0,0.821,0.08631,0.85252523,69.228,0.08494,1.208,0.17,9322957000.0,396610000.0,591667782.0,2024-09-30,-578890500.0,0.036,-0.0008495157638103778,4.380000114440918,4.619999885559082,0.06029881680222842,0.06087388275629974,-0.05899664181486632,20.93529479082893,25.76470655553481,0.9480519963066794,0.18744291747690878
AMC.bk,SET,2025-02-05,Steel,Basic Materials,2229063936.0,1.46,0.03877,0.27949864,44.961,0.09964,1.514,0.53,2531557000.0,961973000.0,195749728.0,2024-09-30,-337537500.0,0.1361,-0.25519419373775487,1.9600000381469727,3.200000047683716,0.08781700912144676,0.056032073003523655,-0.15142567000823792,0.9433962983905144,3.6981132795225897,0.6125000027939677,0.7448979446859175
AMR.bk,SET,2025-02-05,Engineering & Construction,Industrials,765885376.0,0.017,-0.30847,0.4337493,13.013,-0.20603001,1.667,-0.22,682741877.0,359147544.0,-131959159.0,2024-09-30,-31615976.5,0.0869,0.6652043673715855,0.7200000286102295,0.9900000095367432,-0.1722962249118594,-0.12665370848409832,-0.041280297928028335,-3.195454675501043,-3.2727274027737705,0.7272727491660769,0.02361111017288989
ANAN.bk,SET,2025-02-05,Real Estate - Development,Real Estate,18328006656.0,0.388,-0.07549,0.23715416,141.448,-0.03271,1.456,-0.04,9345325000.0,7517394000.0,-370040059.0,2024-09-30,-104478000.0,-0.0256,1.6226916220270433,0.5,0.5600000023841858,-0.020189869304682993,-0.02194427001956209,-0.00570045624496744,-2.8,-12.5,0.8928571390558262,0.776
ANI.bk,SET,2025-02-05,Integrated Freight & Logistics,Industrials,5045968384.0,0.736,0.08366,0.67945457,9.957,0.11429,1.406,0.36,8159612582.0,577340140.0,1033082939.0,2024-09-30,307323914.0,0.1187,0.49184270853913165,2.940000057220459,3.7523810863494873,0.20473432657163473,0.11824293570899788,0.06090484335464279,6.122222381167942,8.166666825612387,0.7835025253473509,0.25034013118211657
AOT.bk,SET,2025-02-05,Airports & Air Services,Industrials,925695803392.0,0.69,0.27789,6.755953,44.985,0.16233,1.339,1.37,175925894918.0,6861267505.0,27499684427.0,2024-09-30,8817713988.5,0.0192,0.6929110288952227,55.0,54.2991943359375,0.029707042341807873,0.15044647590382274,0.009525498501980359,39.64233576642336,40.14598540145985,1.0129063731540244,0.012545454545454544
AP.bk,SET,2025-02-05,Real Estate - Development,Real Estate,60931538944.0,0.982,0.14202,0.60589683,90.81,0.13506,3.519,1.61,9722621000.0,55605398000.0,5958818671.0,2024-09-30,1743277500.0,0.097,1.0628789434359285,7.900000095367432,7.75,0.09779530887077277,0.09121382772987499,0.028610429511753906,4.296894469172317,4.9068323573710755,1.0193548510151524,0.12430379596778053
APCO.bk,SET,2025-02-05,Household & Personal Products,Consumer Defensive,2771804416.0,0.437,0.32348,4.389764,5.857,0.14934,7.591,0.11,244840706.0,346518346.0,63663283.0,2024-09-30,1763141.5,0.1373,0.08841837548379411,4.460000038146973,5.849999904632568,0.022968172874142646,0.10765588652898476,0.0006360988134019915,36.57272761951793,40.5454548922452,0.7623931813426414,0.09798206194221547
APCS.bk,SET,2025-02-05,Engineering & Construction,Industrials,2009188352.0,0.146,0.045560002,0.5658284,42.565,0.02244,1.575,0.07,1496313428.08,782525353.96,56613774.419999994,2024-09-30,-161033604.67999998,-0.0045,0.29110508821224645,1.75,2.180000066757202,0.02817743511385835,0.024843255637996362,-0.080148585631458,22.914285714285715,24.999999999999996,0.8027522689956442,0.08342857142857142
APURE.bk,SET,2025-02-05,Farm Products,Consumer Defensive,4025476864.0,0.242,0.14986,1.5306916,11.872,0.16184,3.138,0.3,1445669000.0,1130390000.0,451876559.0,2024-09-30,38173500.0,0.1543,0.25531979086147166,3.9200000762939453,4.059999942779541,0.1122541687026325,0.17541390123440495,0.009482975878308266,12.260000254313152,13.066666920979818,0.965517273778642,0.061734692676024674
AQUA.bk,SET,2025-02-05,Advertising Agencies,Communication Services,3930342400.0,0.026,-0.00232,0.2815534,33.79,-0.00519,0.343,-0.06,7913977000.0,45288000.0,-30718554.44,2024-09-30,55681500.0,0.0202,0.576681182041338,0.28999999165534973,0.3700000047683716,-0.007815745121849944,-0.0038594712501719697,0.014167086307798527,-4.399999860922495,-4.833333194255829,0.7837837511296691,0.08965517499358992
AS.bk,SET,2025-02-05,Electronic Gaming & Multimedia,Communication Services,1229596032.0,0.855,0.17753,1.1235119,19.52,0.19258,1.479,0.44,1222147000.0,182216000.0,228814141.0,2024-09-30,15634000.0,0.4254,2.1386281711619164,3.059999942779541,3.640000104904175,0.1860888739432757,0.16293090960100773,0.012714745000087964,5.011363506317139,6.954545324498957,0.8406593007117776,0.27941176993074174
ASAP.bk,SET,2025-02-05,Rental & Leasing Services,Industrials,9866088448.0,0.064,-0.03688,1.2446352,823.922,-0.17495,0.809,-0.3,5239535000.0,-761330000.0,160863382.0,2024-09-30,381974000.0,0.0254,0.8305643666785187,1.4500000476837158,2.1600000858306885,0.016304676655580698,0.03592139752423125,0.03871584995545339,-4.62000015894572,-4.833333492279053,0.6712962916971726,0.044137929582992765
ASEFA.bk,SET,2025-02-05,Electrical Equipment & Parts,Industrials,2365558528.0,0.419,0.02902,0.9617919,61.023,0.066929996,1.211,0.15,1702220569.0,313517232.0,115203849.0,2024-09-30,32117712.5,0.1157,0.18550920813554148,2.9600000381469727,3.4600000381469727,0.048700485587816325,0.05715219952855367,0.013577221666611836,16.94000025431315,19.733333587646484,0.8554913310729966,0.14155405222977752
ASIA.bk,SET,2025-02-05,Lodging,Consumer Cyclical,4577809408.0,0.748,-0.03204,0.30937907,41.742,-0.0073900004,0.994,-0.16,9873267483.0,-114327234.0,73093922.0,2024-09-30,44958770.0,-0.0043,0.4193065966391477,5.650000095367432,6.349999904632568,0.015967008559216976,0.007489944618473296,0.009821022675481381,-30.637500596046447,-35.31250059604645,0.8897638079089639,0.13238937829634778
ASIAN.bk,SET,2025-02-05,Packaged Foods,Consumer Defensive,7869682688.0,1.24,0.07096,0.9577795,2.032,0.12702,5.788,1.0,3987899000.0,4167363000.0,1184885571.0,2024-09-30,518102500.0,0.1573,0.23280264019106214,7.699999809265137,7.758768081665039,0.1505633223060899,0.14529092639819544,0.06583524654558473,6.4599998092651365,7.699999809265137,0.9924255665614262,0.16103896502801882
ASIMAR.bk,SET,2025-02-05,Aerospace & Defense,Industrials,478184832.0,0.198,0.06372,0.93205047,27.259,0.10184,0.945,0.18,511384000.0,-6897000.0,64690882.0,2024-09-30,-4678500.0,0.0633,0.07733257429596595,1.5199999809265137,1.399999976158142,0.1352842617977477,0.12823101883695714,-0.009783873696771712,7.344444338480632,8.444444338480633,1.085714290579971,0.13026315952932407
ASK.bk,SET,2025-02-05,Credit Services,Financial Services,66272251904.0,0.985,0.19875999,0.42898494,602.921,0.045619998,2.207,0.91,48496655000.0,-6679669000.0,1332137537.0,2024-09-30,1434218500.0,0.0431,2.040382208687953,8.5,10.899999618530273,0.020100984933025885,0.03185637379508891,0.021641312295794114,8.258241758241757,9.340659340659341,0.779816541052881,0.11588235294117646
ASP.bk,SET,2025-02-05,Capital Markets,Financial Services,4446710784.0,4.197,0.17965999,0.99827886,165.204,0.08095,1.592,0.17,1003605000.0,5291513000.0,362259312.0,2024-09-30,301938500.0,0.122,0.6532395112872156,2.319999933242798,2.138400077819824,0.08146680312636227,0.057546071733683146,0.06790153771331939,-11.04117686327766,13.647058430839987,1.0849232364451282,1.8090517761927738
ASW.bk,SET,2025-02-05,Real Estate - Development,Real Estate,19207958528.0,2.189,0.18100001,0.9116574,152.109,0.23134,1.64,1.98,5769202718.0,9523095995.0,2161248171.0,2024-09-30,831966115.5,0.1323,0.201102886920165,7.800000190734863,7.449999809265137,0.11251836929205598,0.14132918873489703,0.043313614733560504,2.8338384801691228,3.9393940357246784,1.046979918178582,0.28064101877845815
AURA.bk,SET,2025-02-05,Luxury Goods,Consumer Cyclical,25337427968.0,0.146,0.03334,3.31297,127.863,0.17944,1.879,0.8,1536791000.0,6296333000.0,1933250729.0,2024-09-30,-476843000.0,0.1963,1.0454937603210395,13.800000190734863,14.300000190734863,0.0763001963514847,0.2468045608623073,-0.018819708164626286,17.067500238418578,17.25000023841858,0.9650349655013323,0.010579709998701482
AWC.bk,SET,2025-02-05,Lodging,Consumer Cyclical,175718400000.0,0.009,0.3509,1.0845523,85.71,0.060949996,0.041,0.16,180071502000.0,-40507924000.0,3838546751.0,2024-09-30,-43616500.0,0.0035,1.3632310581153606,3.140000104904175,3.4200000762939453,0.021844876524029357,0.02750392907668217,-0.0002482181718021562,19.568750655651094,19.625000655651093,0.9181286651627242,0.002866241942458361
B.bk,SET,2025-02-05,Integrated Freight & Logistics,Industrials,3393262848.0,0.008,0.28349,0.13856813,42.345,0.06388,2.413,-0.01,4744646000.0,1088812000.0,36420470.44,2024-09-30,-9512500.0,-0.0259,0.7742040754933913,0.07000000029802322,0.07999999821186066,0.010733171013105083,0.0062433757884260066,-0.0028033489965584887,-6.200000029802323,-7.000000029802322,0.8750000232830649,0.11428571379914576
B52.bk,SET,2025-02-05,Real Estate Services,Real Estate,224746112.0,0.072,-1.4456,1.4705882,26.26,-0.44501,6.368,-0.09,69999480.0,46835046.0,-102757967.0,2024-09-30,-14872522.5,-0.4532,-0.2695816477016394,0.3799999952316284,0.4399999976158142,-0.45721799627839615,-0.8795171300647893,-0.06617477102340262,-3.4222221692403156,-4.222222169240316,0.863636357478859,0.18947368658810773
BA.bk,SET,2025-02-05,Airlines,Industrials,48738676736.0,6.893,0.1733,2.2131553,77.004,0.23919001,1.565,1.34,44210663000.0,4156299000.0,4070678500.0,2024-09-30,707918000.0,-0.0512,1.311623547742318,18.700000762939453,18.196861267089844,0.08352049691560998,0.08416237720285182,0.014524768570031946,8.811194599208546,13.955224449954814,1.027649795668859,0.3686096106295821
BAFS.bk,SET,2025-02-05,Airports & Air Services,Industrials,21667571712.0,0.636,-0.022969998,1.3135351,188.104,-0.029189998,0.613,-0.15,20336640000.0,-1047462000.0,645227297.0,2024-09-30,306844500.0,-0.0058,1.6310511243659644,9.699999809265137,11.911764144897461,0.02977847751359504,0.033450222554843964,0.01416146230313674,-60.42666539510092,-64.66666539510092,0.8143210099924822,0.06556701159854794
BAM.bk,SET,2025-02-05,Asset Management,Financial Services,115555393536.0,0.335,0.58587,0.4259575,217.07,0.03994,5.279,0.47,7416924000.0,108826550000.0,2602862000.0,2024-09-30,25108500.0,0.0215,1.550005505217075,5.699999809265137,6.400000095367432,0.022524798889539562,0.02239146775671897,0.0002172854008080352,11.414893211202418,12.127659168649227,0.8906249569263316,0.058771931791202874
BBGI.bk,SET,2025-02-05,Utilities - Renewable,Utilities,8924962816.0,0.57,0.0114400005,0.67357516,32.456,0.03336,1.228,0.16,9331550000.0,942809000.0,447074475.0,2024-09-30,7204500.0,0.0679,1.228760899796122,4.5,5.099999904632568,0.05009258685072823,0.04351361238204739,0.0008072302538991329,24.5625,28.125,0.8823529576760265,0.12666666666666665
BCH.bk,SET,2025-02-05,Medical Care Facilities,Healthcare,40371474432.0,0.634,0.12195,2.772277,10.35,0.11843,1.241,0.58,13435682000.0,798727000.0,1962129894.0,2024-09-30,191736000.0,0.2647,1.0469298926569628,14.300000190734863,16.172985076904297,0.048601888378016225,0.1378441418958806,0.004749293968020712,23.562069294370456,24.655172742646318,0.8841905265315471,0.044335663744310715
BCP.bk,SET,2025-02-05,Oil & Gas Refining & Marketing,Energy,187974795264.0,22.873,0.00202,0.84234583,168.062,0.00555,1.298,0.47,206047940000.0,28362989000.0,19783382553.0,2024-09-30,-1075171500.0,0.0941,0.8061999525424385,35.75,32.96040344238281,0.10524486820275747,0.08439616120884876,-0.005719764176308756,27.397872340425533,76.06382978723404,1.0846347819283706,0.6398041958041958
BCPG.bk,SET,2025-02-05,Utilities - Renewable,Utilities,43299872768.0,2.562,0.20207001,0.7078909,104.29,0.04967,2.062,0.52,50250152000.0,5594014000.0,1820678519.0,2024-09-30,60477500.0,0.0434,1.4021022282816948,6.5,5.0655741691589355,0.04204812630178304,0.032602841969204086,0.001396713111006987,7.573076923076923,12.5,1.2831714200483673,0.39415384615384613
