ticker,market,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,priceToBook,debtToEquity,returnOnEquity,currentRatio,trailingEps,Total Non Current Assets,Working Capital,Operating Income,ttm_latest,Free Cash Flow,avg_MF_ROC,beta,price_current,price_past,MF_EarningYield,current_MF_ROC,FCF_Yield,PE_offset_Cash,PE,PriceIndex_6m,percenFCFpersharetoprice
DELTA.bk,SET,2025-02-05,Electrical Equipment & Parts,Industrials,1523103301632.0,1.009,0.13344,19.063005,1.825,0.30384,2.21,1.7,37612858000.0,44432178000.0,20360557490.0,2024-09-30,7211490500.0,0.1942,1.3414071348624987,125.5,95.25,0.013367811275954647,0.24816318552166886,0.004734734992874687,73.23,73.82352941176471,1.3175853018372703,0.008039840637450198
DEMCO.bk,SET,2025-02-05,Engineering & Construction,Industrials,4086192384.0,0.105,-0.24791001,0.57003254,47.429,-0.16248,0.796,-0.71,4508097000.0,-484380000.0,6331000.0,2024-09-30,-197109000.0,-0.0291,0.23182522883291184,2.859999895095825,3.680000066757202,0.0015493641525029086,0.0015734207947527125,-0.04823781689080648,-3.880281542388486,-4.028168866332148,0.7771738704385521,0.03671328805992209
DITTO.bk,SET,2025-02-05,Information Technology Services,Technology,10597810176.0,0.979,0.17902,3.48806,1.082,0.13848,2.428,0.61,2199039000.0,1341540000.0,470412434.0,2024-09-30,97965500.0,0.2471,1.341762792355885,13.5,11.199999809265137,0.04438770143904869,0.13286313735691252,0.009243937980872172,20.526229508196725,22.13114754098361,1.205357163384253,0.07251851851851852
DMT.bk,SET,2025-02-05,Infrastructure Operations,Industrials,13676402688.0,0.344,0.42417,1.4607679,5.682,0.117019996,0.572,0.87,9213400000.0,-258380000.0,1275308063.0,2024-09-30,341761000.0,0.1031,0.3022976201725153,10.5,11.478370666503906,0.09324879444497386,0.1424126426294972,0.02498910040868197,11.673563218390806,12.068965517241379,0.9147639769676562,0.032761904761904756
DOHOME.bk,SET,2025-02-05,Home Improvement Retail,Consumer Cyclical,40802201600.0,0.063,0.02315,1.7346939,141.503,0.057690002,0.971,0.22,18786909000.0,-453718000.0,1211365271.0,2024-09-30,-236734500.0,0.1045,1.6620910816242873,7.050000190734863,10.199999809265137,0.02968872324281639,0.06607498230940811,-0.005802003095832947,31.75909177606756,32.045455412431195,0.6911765022123842,0.008936169971001539
DREIT.bk,SET,2025-02-05,REIT - Hotel & Motel,Real Estate,4920801792.0,0.585,0.78945,0.6423302,36.697,0.07919,6.66,0.55,7509009000.0,287356000.0,513330437.0,2024-09-30,114992000.0,0.0572,0.2512465882580018,5.099999904632568,4.423506259918213,0.10431845432883471,0.06584227867730667,0.023368549447967686,8.209090735695579,9.272727099331942,1.1529315445632178,0.11470588449788344
DRT.bk,SET,2025-02-05,Building Products & Equipment,Industrials,6960528896.0,0.013,0.1092,2.5193148,20.403,0.22459999,1.75,0.67,2271954000.0,641989000.0,687589611.0,2024-09-30,122538500.0,0.2854,0.0412612453432893,7.400000095367432,7.55116605758667,0.09878410409231063,0.23596536068138602,0.01760476852131439,11.025373276667809,11.044776261742435,0.9799811100608281,0.0017567567341165704
DTCENT.bk,SET,2025-02-05,Scientific & Technical Instruments,Technology,544020800.0,0.778,0.17052001,0.8664898,4.99,0.08557,6.298,0.07,515433000.0,1089916000.0,126844000.0,2024-09-30,-2313000.0,0.1223,0.6175014611557555,0.9800000190734863,1.090000033378601,0.23316020269813212,0.07901334849929828,-0.0042516756712243356,2.885714558192661,14.000000272478374,0.8990825587737323,0.7938775355693752
DTCI.bk,SET,2025-02-05,Business Equipment & Supplies,Industrials,190049552.0,18.918,0.01801,0.82067865,5.826,0.0064499998,4.782,-0.37,182558502.22,227404511.1,-2582603.71,2024-09-30,413817.3500000001,0.0309,0.8962205396021437,31.75,30.25,-0.013589107066140308,-0.006299601735008537,0.002177418181969722,-34.68108108108108,-85.8108108108108,1.0495867768595042,0.5958425196850393
DUSIT.bk,SET,2025-02-05,Lodging,Consumer Cyclical,24950693888.0,2.107,-0.058379997,3.632846,173.159,-0.05924,0.658,-0.91,33676309000.0,-1621233000.0,-165529000.0,2024-09-30,-1187195000.0,-0.0404,1.2171311082127636,9.5,9.800000190734863,-0.006634244351801813,-0.005163893543724557,-0.04758164263203035,-8.124175824175824,-10.43956043956044,0.9693877362350982,0.22178947368421054
EA.bk,SET,2025-02-05,Utilities - Renewable,Utilities,85479456768.0,0.345,0.19386,0.25124732,157.431,0.088470004,0.992,0.54,84977996000.0,3137825000.0,4644965758.0,2024-09-30,1450386500.0,0.0949,1.7893311332930282,2.9600000381469727,3.5,0.05434014128806308,0.05271432196041163,0.016967661644557448,4.842592663235135,5.481481552124023,0.8457142966134208,0.11655405255196477
EASON.bk,SET,2025-02-05,Specialty Chemicals,Basic Materials,347207808.0,0.641,0.14741999,0.5766234,2.278,0.10469,5.011,0.13,506333205.44,514425825.37,40995114.92,2024-09-30,16373586.540000001,0.044,0.4519170763518462,1.1100000143051147,1.1100000143051147,0.11807083243934423,0.04016140311535551,0.047157886898672514,3.6076924177316516,8.538461648500883,1.0,0.577477470035242
ECL.bk,SET,2025-02-05,Credit Services,Financial Services,4188051712.0,0.021,0.15113,0.5416424,167.83,0.03269,2.839,0.06,3619189759.78,-148587750.46,-363876.21999999974,2024-09-30,-42993520.864999995,0.0329,1.550104640515129,0.8399999737739563,0.7300000190734863,-8.688436653190966e-05,-0.00010484527439990001,-0.010265756925066353,13.649999562899271,13.999999562899273,1.1506848655155948,0.02500000078053704
EGCO.bk,SET,2025-02-05,Utilities - Independent Power Producers,Utilities,150136061952.0,91.668,-0.20719999,0.5167959,126.791,-0.07484,1.749,-16.03,180396390000.0,31041158000.0,6224471000.0,2024-09-30,856269500.0,0.0343,1.014704222829687,107.5,93.50399780273438,0.041458866837669056,0.029438815663904692,0.0057032899948698396,-0.987648159700561,-6.706175920149719,1.1496834630193355,0.8527255813953489
EKH.bk,SET,2025-02-05,Medical Care Facilities,Healthcare,3603015680.0,2.111,0.24306999,2.2349272,3.315,0.14895001,6.168,0.41,1002242000.0,1420337000.0,336413873.0,2024-09-30,38313000.0,0.1633,0.20704110997496025,6.5,6.095999717712402,0.09337008297449319,0.138866007259206,0.01063359235783287,10.704878048780486,15.853658536585368,1.0662730152551916,0.3247692307692308
EMC.bk,SET,2025-02-05,Engineering & Construction,Industrials,1632225280.0,0.01,-0.85195,0.5426357,49.671,-0.31906998,1.334,-0.03,1131859000.0,278608000.0,-481598932.0,2024-09-30,-83107000.0,-0.1731,0.7601434464309194,0.07000000029802322,0.07000000029802322,-0.2950566554146251,-0.34144643724383483,-0.050916378405804374,-2.0000000099341073,-2.333333343267441,1.0,0.1428571422489322
EP.bk,SET,2025-02-05,Utilities - Renewable,Utilities,7017849344.0,0.137,-0.61836,0.3745802,115.117,-0.14408,0.183,-0.97,8957231959.4,-4336850245.68,-17466209.53,2024-09-30,-399645283.24,0.0001,0.17147890191088785,1.4800000190734863,2.0799999237060547,-0.002488826515623759,-0.0037802525012457172,-0.0569469738733679,-1.3845361021376148,-1.5257732155396766,0.7115384968074834,0.09256756637460392
EPG.bk,SET,2025-02-05,Specialty Chemicals,Basic Materials,16742723584.0,0.568,0.08218,0.74307585,37.871,0.09236,2.086,0.3,11535679830.0,4050191471.0,732813140.0,2024-09-30,43067145.0,0.0781,1.4777919074698396,3.299999952316284,4.041428565979004,0.043769052049590355,0.0470177846234995,0.0025722902718860294,9.106666507720947,10.999999841054281,0.816542937340496,0.17212121460829669
ERW.bk,SET,2025-02-05,Lodging,Consumer Cyclical,34562150400.0,0.332,0.15038,2.376521,203.448,0.16718,0.753,0.24,23144176000.0,-827780000.0,1398623913.0,2024-09-30,-471191000.0,-0.0197,1.2704441558885053,3.440000057220459,3.5999999046325684,0.04046692398514648,0.06267248138991618,-0.013633150557669005,12.95000023841858,14.333333571751913,0.9555555967637062,0.09651162630161642
ETC.bk,SET,2025-02-05,Utilities - Renewable,Utilities,4055379968.0,0.79,0.101330005,1.042471,52.16,0.02713,2.562,0.04,2718372000.0,1172854000.0,185770842.0,2024-09-30,83786000.0,0.0578,1.1523894612206287,1.4800000190734863,1.809999942779541,0.045808492290703155,0.04774095413630563,0.020660456149888443,17.250000476837158,37.00000047683716,0.8176795943986122,0.5337837769046503
ETL.bk,SET,2025-02-05,Integrated Freight & Logistics,Industrials,428121984.0,0.235,0.042379998,0.55399054,25.245,0.090050004,2.475,0.03,436583000.0,256957000.0,28513951.0,2024-09-30,9490000.0,0.1708,2.1556968251134543,0.6100000143051147,0.8100000023841858,0.06660239853508668,0.041113635839317125,0.022166579513935917,12.50000047683716,20.333333810170494,0.7530864351970578,0.3852458926049398
EVER.bk,SET,2025-02-05,Real Estate - Development,Real Estate,3787579392.0,0.009,-0.16299,0.22321428,147.987,-0.1278,1.897,-0.06,325698000.0,2498273000.0,-45421915.0,2024-09-30,192997500.0,0.0104,-0.08538543430696187,0.10000000149011612,0.12999999523162842,-0.011992333440175185,-0.016084412694039704,0.05095536753833938,-1.5166666915019356,-1.6666666915019355,0.7692308089084189,0.0899999986588955
FANCY.bk,SET,2025-02-05,"Furnishings, Fixtures & Appliances",Consumer Cyclical,22481650.0,0.314,0.11328,0.2658789,0.036,0.01411,41.264,0.02,329888745.03,519393081.27,36861015.88,2024-09-30,11907460.795,-0.0644,0.840519054172441,0.3499999940395355,0.36000001430511475,1.6396045610531256,0.04340257231287937,0.5296524407683599,1.799999701976776,17.499999701976776,0.9722221670327386,0.8971428724211092
FE.bk,SET,2025-02-05,Advertising Agencies,Communication Services,1331675008.0,12.345,0.17149,1.0362247,0.124,0.091630004,1.462,16.38,1506124000.0,89152000.0,112750709.94,2024-09-30,27332000.0,0.0294,0.45664759438791297,193.0,190.0,0.08466833819261704,0.07067787012404123,0.020524527257629512,11.02899877899878,11.782661782661783,1.0157894736842106,0.0639637305699482
FM.bk,SET,2025-02-05,Farm Products,Consumer Defensive,3520115456.0,0.182,0.06979,1.2718108,21.149,0.22022,1.411,0.59,2238243000.0,1367940000.0,460302019.0,2024-09-30,126160891.5,0.1762,0.6812160269302069,3.299999952316284,4.14951229095459,0.13076332999686702,0.12764244604336497,0.035839986806387295,5.284745681892008,5.593220258163194,0.7952741722225682,0.055151515948433094
FMT.bk,SET,2025-02-05,Metal Fabrication,Industrials,2923939328.0,0.511,-0.00634,1.0845274,93.609,-0.02994,1.605,-0.96,437310000.0,1151227000.0,-114372447.0,2024-09-30,-404294000.0,0.0767,-0.1382247341512791,33.0,34.75,-0.039115875594529434,-0.07199860437622793,-0.1382703109221287,-33.842708333333334,-34.375,0.9496402877697842,0.015484848484848485
FN.bk,SET,2025-02-05,Apparel Retail,Consumer Cyclical,903292992.0,0.154,-0.47911,0.55715656,12.468,-0.19471,6.455,-0.21,1021664000.0,114971000.0,-245970602.0,2024-09-30,-2765500.0,-0.0906,0.6011778863403946,0.6000000238418579,1.1299999952316284,-0.2723043399854031,-0.2164024528542584,-0.0030615758391713504,-2.1238096373421804,-2.857142970675514,0.5309734746670237,0.2566666564676501
FNS.bk,SET,2025-02-05,Asset Management,Financial Services,18077706240.0,0.22,0.08828,0.18801276,188.642,-0.08758,0.517,-2.3,21136465000.0,-3370749000.0,-428406000.0,2024-09-30,-407318000.0,0.0078,0.863542186853043,1.659999966621399,2.680000066757202,-0.02369802862777352,-0.024114198380746375,-0.022531508953206665,-0.6260869420093039,-0.7217391159223474,0.6194029571909666,0.13253012314678922
FORTH.bk,SET,2025-02-05,Electronic Components,Technology,16698839040.0,0.881,0.0367,3.718638,155.58,0.165,0.859,0.23,5829966000.0,-1386195000.0,493558391.0,2024-09-30,-21041000.0,0.225,1.8175904498249047,8.699999809265137,9.27522087097168,0.029556449392544117,0.11106746747300884,-0.001260027715076413,33.99565134463103,37.826086127239726,0.9379830335354287,0.10126437003616619
FPT.bk,SET,2025-02-05,Real Estate - Development,Real Estate,81650089984.0,0.491,0.110240005,0.54126334,143.275,0.04541,1.774,0.62,58815562000.0,19896575000.0,2329481000.0,2024-09-30,970666500.0,0.0351,-0.006695820832373684,8.5,13.368203163146973,0.028530048165978514,0.029594940358435448,0.011888125294046951,12.917741935483871,13.709677419354838,0.6358371350483754,0.05776470588235294
FTE.bk,SET,2025-02-05,Security & Protection Services,Industrials,1056217856.0,0.091,0.07929,1.1847233,11.476,0.1107,3.269,0.18,371243000.0,588750000.0,156348219.54,2024-09-30,16427000.0,0.1097,0.4498530829323563,1.5299999713897705,1.4677622318267822,0.14802648776655408,0.16286391623688923,0.015552662650687095,7.994444285498726,8.499999841054281,1.0424031482848055,0.05947712529519882
FTREIT.bk,SET,2025-02-05,REIT - Industrial,Real Estate,44207194112.0,0.08,0.6742,0.87224215,36.006,0.07672,0.103,0.73,50698927539.0,-3239112412.0,2983568622.0,2024-09-30,358858699.0,0.0633,0.006987144673324126,10.100000381469727,9.643585205078125,0.06749056758592406,0.0628651547423041,0.008117653839120003,13.726027919821544,13.835616960917434,1.047328370796295,0.00792079178004532
GABLE.bk,SET,2025-02-05,Information Technology Services,Technology,2575640064.0,1.638,0.03946,0.8480566,62.954,0.11761,1.424,0.34,816508000.0,1587946000.0,327195567.0,2024-09-30,24797500.0,0.1592,0.8011632825255658,2.759999990463257,3.4200000762939453,0.12703466279052258,0.13607894640529616,0.00962770394303045,3.2999999719507556,8.117647030774284,0.8070175230680428,0.5934782629202354
GBX.bk,SET,2025-02-05,Capital Markets,Financial Services,205828176.0,1.447,0.100959994,0.47337276,73.289,0.04025,1.78,0.06,217998000.0,1276317000.0,27119865.0,2024-09-30,106326500.0,0.0385,0.6732619902605388,0.6499999761581421,0.6399999856948853,0.13175973050453502,0.018148693548549002,0.5165789352377101,-13.283333730697633,10.833332935969036,1.0156249854480845,2.2261539278086855
GC.bk,SET,2025-02-05,Specialty Chemicals,Basic Materials,3163574272.0,0.107,0.03066,3.6728625,175.208,0.30882,1.26,0.41,241392000.0,366371000.0,239258604.0,2024-09-30,21156000.0,0.3631,0.25646648099396224,4.940000057220459,4.669412136077881,0.07562920400434968,0.39367089474021943,0.0066873726301438325,11.787805017610875,12.048780627366973,1.0579490336806854,0.021659918777451315
GEL.bk,SET,2025-02-05,Building Materials,Basic Materials,6075852800.0,0.009,-0.13186,0.14705883,120.077,-0.12937,0.654,-0.08,8071654000.0,-1015716000.0,-391550246.0,2024-09-30,128181000.0,-0.0227,1.3388408943792547,0.05999999865889549,0.10000000149011612,-0.06444366887887738,-0.05549230251172842,0.021096791548340342,-0.6374999832361936,-0.7499999832361937,0.5999999776482585,0.15000000335276134
GENCO.bk,SET,2025-02-05,Waste Management,Industrials,537127296.0,0.069,-0.22184,0.3633061,6.627,-0.05276,3.346,-0.05,1009344000.0,307049000.0,-10190508.0,2024-09-30,22371000.0,-0.0232,0.3364129206245607,0.4099999964237213,0.4000000059604645,-0.018972240055362966,-0.007741235330178753,0.041649344888255314,-6.8199999284744255,-8.199999928474426,1.0249999757856134,0.16829268439478426
GFPT.bk,SET,2025-02-05,Packaged Foods,Consumer Defensive,13325326336.0,2.403,0.10421,0.5833223,26.422,0.110360004,2.596,1.55,18763830000.0,4828568000.0,1435783114.48,2024-09-30,178653000.0,0.0443,0.3879886143949054,9.149999618530273,12.600000381469727,0.10774843919589842,0.06085787101760491,0.013407026251758433,4.3529029796969505,5.903225560342111,0.7261904239294136,0.2626229617686021
GGC.bk,SET,2025-02-05,Chemicals,Basic Materials,3229910784.0,1.8,-0.02238,0.4359673,10.413,-0.04191,4.947,-0.4,5718578000.0,4641927000.0,209973871.0,2024-09-30,-152159500.0,0.0399,0.6521824631621566,4.0,4.800000190734863,0.0650091860246255,0.020266760259273077,-0.04710950554849753,-5.5,-10.0,0.8333333002196431,0.45
GIFT.bk,SET,2025-02-05,Specialty Chemicals,Basic Materials,3352988672.0,0.37,0.052789997,2.0221949,32.376,0.24139999,9.85,0.08,1251315000.0,1291141000.0,426050478.0,2024-09-30,126333000.0,-0.0049,-0.16253030237119923,0.550000011920929,3.7799999713897705,0.1270658864904152,0.16757437611506354,0.03767772944029797,2.250000149011612,6.875000149011612,0.14550264975761723,0.6727272581463021
GJS.bk,SET,2025-02-05,Steel,Basic Materials,1922370560.0,0.085,-0.03192,0.27139872,0.061,-0.03336,7.453,-0.03,8001771000.0,3731770000.0,-893282583.0,2024-09-30,-321500.0,0.0352,0.31243118604208425,0.11999999731779099,0.18000000715255737,-0.46467762334021595,-0.0761306908971469,-0.0001672414292486876,-1.1666665772596994,-3.999999910593033,0.6666666252745539,0.7083333491658175
GLAND.bk,SET,2025-02-05,Real Estate Services,Real Estate,18020800512.0,0.011,0.2742,0.563147,40.724,0.02717,0.264,0.08,29307097000.0,-1018074000.0,888515545.0,2024-09-30,135485500.0,0.0344,-0.37342519685747794,1.2200000286102295,1.409999966621399,0.04930499865465688,0.03140849173193433,0.007518284213277906,15.11250035762787,15.250000357627869,0.8652482677241179,0.009016393231179443
GLOBAL.bk,SET,2025-02-05,Home Improvement Retail,Consumer Cyclical,59422846976.0,0.2,0.07418,2.0289228,46.267,0.10148,1.251,0.47,23645235000.0,3031386000.0,2718705425.0,2024-09-30,541219000.0,0.1412,1.240643894948515,9.350000381469727,14.300000190734863,0.04575185409911518,0.10191341043530214,0.009107927801214073,19.468085918020698,19.893617832914313,0.6538461718012913,0.02139037345884707
GLOCON.bk,SET,2025-02-05,Packaged Foods,Consumer Defensive,1336656512.0,0.011,-0.17873,0.7083334,92.125,-0.39931,0.752,-0.13,1245928000.0,-222883000.0,-153326946.0,2024-09-30,57568500.0,-0.1372,0.35000492466309624,0.17000000178813934,0.23999999463558197,-0.11470930985147514,-0.1498731199507353,0.04306903043764171,-1.223076936831841,-1.3076923214472256,0.7083333566163982,0.06470588167233451
GPI.bk,SET,2025-02-05,Advertising Agencies,Communication Services,796229376.0,0.311,0.15656,1.2785016,1.188,0.13193,4.305,0.19,655887070.15,170859251.05,136605045.32999998,2024-09-30,-86063176.36,0.0839,-0.13631215910535427,1.5700000524520874,1.4927072525024414,0.17156494026414817,0.1652321175517557,-0.10808842144502842,6.626316065537302,8.26315817080046,1.051780280306181,0.19808916535656673
GPSC.bk,SET,2025-02-05,Utilities - Regulated Electric,Utilities,203431657472.0,8.057,0.04044,0.7745519,110.718,0.03771,1.753,1.25,234611471135.0,19638425307.0,8083944291.0,2024-09-30,5732436147.5,0.0287,1.444055992942305,30.5,39.84972381591797,0.03973788736452025,0.03179527073217167,0.028178682800581337,17.9544,24.4,0.7653754425223087,0.26416393442622954
GRAMMY.bk,SET,2025-02-05,Entertainment,Communication Services,7557660672.0,2.048,0.01821,3.9067054,51.731,0.040939998,0.925,0.14,5733986000.0,-159954000.0,310240962.0,2024-09-30,104138500.0,0.0207,0.2681897119582235,7.900000095367432,6.699999809265137,0.041049866547911616,0.055658267121537874,0.013779197627358098,41.80000068119594,56.428572109767366,1.1791045254125032,0.25924050319960745
GRAND.bk,SET,2025-02-05,Lodging,Consumer Cyclical,12735217664.0,0.162,-0.30328,0.15197569,484.692,-0.25937998,0.527,-0.07,9457380000.0,-159401000.0,15558499.0,2024-09-30,-212185000.0,-0.0467,0.9377633686699888,0.05000000074505806,0.09000000357627869,0.0012216908584123279,0.0016733205140600984,-0.01666127785156009,1.5999999893563133,-0.7142857249294008,0.5555555417581847,3.2399999517202387
GREEN.bk,SET,2025-02-05,Utilities - Renewable,Utilities,831803264.0,0.248,0.25259,1.002045,29.153,0.03847,6.952,0.03,732243000.0,272253000.0,44945000.0,2024-09-30,1215500.0,0.0106,0.36839107270553617,0.9900000095367432,0.9800000190734863,0.05403320946814655,0.04474383173253054,0.0014612830372351124,24.733333651224772,33.00000031789144,1.0102040717026832,0.25050504809191687
GROREIT.bk,SET,2025-02-05,REIT - Hotel & Motel,Real Estate,4102201088.0,0.063,0.74064004,0.7801028,39.796,0.07661,237.981,0.81,4515057000.0,413047000.0,329955538.68,2024-09-30,69817500.0,0.0736,0.2013140045818358,8.550000190734863,8.178046226501465,0.08043377972016179,0.06695385054373852,0.01701952159396434,10.477778013252916,10.555555791030695,1.0454820080409988,0.007368420888255585
GULF.bk,SET,2025-02-05,Utilities - Renewable,Utilities,1052637659136.0,2.907,0.13834,5.787037,209.6,0.14904,0.994,1.67,402728422000.0,11757845000.0,19551880161.0,2024-09-30,-1011394000.0,0.04,1.4062410013160187,57.25,47.5,0.01857417886516438,0.047171358179160135,-0.0009608187501387205,32.540718562874254,34.2814371257485,1.2052631578947368,0.05077729257641921
GUNKUL.bk,SET,2025-02-05,Utilities - Independent Power Producers,Utilities,35408674816.0,0.17,0.16035,1.2080961,115.355,0.09387,1.085,0.15,25438615000.0,1836860000.0,1680711479.0,2024-09-30,537941000.0,0.0646,1.402789941313635,1.9299999475479126,1.918928623199463,0.04746609376752339,0.06161987936048777,0.015192350541086117,11.733332983652751,12.866666316986084,1.0057695342153947,0.08808290394825502
GVREIT.bk,SET,2025-02-05,REIT - Office,Real Estate,6963184128.0,1.707,0.45666,0.6019189,30.801,0.057729997,20.735,0.56,11791467100.0,-31814967.0,800430812.0,2024-09-30,215095162.0,0.0685,0.5756446695452909,6.599999904632568,4.961766242980957,0.11495183773488749,0.0680658579817873,0.030890345285437784,8.737499829701015,11.7857141154153,1.3301714714934625,0.2586363673735585
GYT.bk,SET,2025-02-05,Auto Parts,Consumer Cyclical,3252513024.0,20.691,0.00465,0.358653,59.13,0.00815,0.568,15.65,6400103000.0,-1655444000.0,153900000.0,2024-09-30,-42793000.0,0.001,-0.0730162858432976,174.0,161.0,0.04731725864412711,0.03243647225227356,-0.013156903503301698,9.796102236421724,11.118210862619808,1.0807453416149069,0.11891379310344827
HANA.bk,SET,2025-02-05,Electronic Components,Technology,17805799424.0,11.919,0.05889,0.6591537,5.222,0.05668,4.322,1.3,12235906000.0,18248445000.0,583904972.0,2024-09-30,1207199000.0,0.0656,1.1425227877712933,22.5,41.12946319580078,0.032792965825110265,0.019154253013291968,0.0677980792242805,8.13923076923077,17.307692307692307,0.547053091670236,0.5297333333333334
HENG.bk,SET,2025-02-05,Credit Services,Financial Services,12547143680.0,0.031,0.102690004,0.77262694,165.897,0.03314,3.525,0.04,9642719000.0,496239000.0,407558555.0,2024-09-30,799677000.0,0.0712,2.496657362925157,1.090000033378601,1.0399999618530273,0.03248217804739445,0.040197282107293474,0.06373378837405647,26.47500083446503,27.250000834465027,1.0480769936149668,0.028440366101559967
HFT.bk,SET,2025-02-05,Auto Parts,Consumer Cyclical,1633017088.0,1.979,0.09227,0.8035201,5.723,0.07693,3.6,0.41,1683677584.0,1808415411.0,368996253.0,2024-09-30,41156146.5,0.1159,0.36836513550844596,4.239999771118164,4.0292887687683105,0.22595982351410643,0.10566621608540525,0.025202520416001916,5.5146335880930835,10.341462856385766,1.0522948377349148,0.46674530821451016
HMPRO.bk,SET,2025-02-05,Home Improvement Retail,Consumer Cyclical,132223492096.0,0.232,0.08906,4.326167,93.665,0.26364002,0.876,0.48,46592895000.0,-2683783000.0,8607333782.0,2024-09-30,467718000.0,0.1895,1.7509696649438247,8.600000381469727,8.16037368774414,0.06509685718896836,0.19602614104334426,0.00353732905239272,17.433334128061933,17.916667461395264,1.053873353175707,0.02697674298944061
HTC.bk,SET,2025-02-05,Beverages - Non-Alcoholic,Consumer Defensive,7201956352.0,0.109,0.08845,1.6675192,17.162,0.1497,0.908,2.25,5703247000.0,-315524000.0,736522326.0,2024-09-30,91119500.0,0.1414,0.2243043324398294,16.299999237060547,14.935093879699707,0.10226697997072226,0.13670382200421216,0.012652048352764024,7.195999660915798,7.244444105360243,1.0913891381169063,0.0066871168774150485
HTECH.bk,SET,2025-02-05,Tools & Accessories,Industrials,1198436480.0,1.446,0.06491,0.7727382,11.976,0.05647,4.896,0.28,746048024.0,824513902.0,107794362.0,2024-09-30,26099492.5,0.0691,1.327251455369754,3.140000104904175,3.217878818511963,0.08994582841804015,0.06863426409077486,0.021777952303321073,6.050000374657767,11.21428608894348,0.975798121060444,0.4605095387549767
HUMAN.bk,SET,2025-02-05,Software - Application,Technology,7991417344.0,0.614,0.23712999,1.648485,3.882,0.09182999,2.946,0.37,3062280000.0,577444000.0,352319000.0,2024-09-30,87749500.0,0.0928,0.23735737151835515,6.699999809265137,10.186605453491211,0.04408717313012354,0.09679827371525973,0.010980467697120437,16.448648133149018,18.108107592608476,0.6577264467398092,0.09164179365362463
ICC.bk,SET,2025-02-05,Apparel Retail,Consumer Cyclical,9590915072.0,7.744,0.11893,0.39401597,1.964,0.03534,4.039,2.66,27674114000.0,5295320000.0,-325726834.0,2024-09-30,23041000.0,-0.0049,-0.21485114768702376,32.0,29.5,-0.03396201838455817,-0.009879661082443817,0.0024023776487466326,9.118796992481203,12.030075187969924,1.0847457627118644,0.242
ICHI.bk,SET,2025-02-05,Beverages - Non-Alcoholic,Consumer Defensive,19384401920.0,0.738,0.17714001,2.7821054,1.076,0.23118,2.741,1.06,3722717000.0,2653559000.0,1716127785.0,2024-09-30,206027000.0,0.1409,0.6186278749892579,12.699999809265137,14.315686225891113,0.08853137652028213,0.26914264454675424,0.01062849402577802,11.284905480438809,11.981131895533148,0.8871387378060946,0.05811023709320064
ICN.bk,SET,2025-02-05,Telecom Services,Communication Services,1584466048.0,0.277,0.10458,1.5331279,8.822,0.19373,1.301,0.18,640569000.0,425498000.0,150882901.0,2024-09-30,153395000.0,0.2062,0.7342989186050342,2.0,1.8438094854354858,0.09522633898684839,0.141532287370306,0.09681179359672842,9.572222222222221,11.11111111111111,1.0847107663770499,0.1385
IFS.bk,SET,2025-02-05,Credit Services,Financial Services,2685940480.0,0.807,0.32342997,0.6462396,104.536,0.08116,1.851,0.28,187726562.0,1709432410.0,199563701.0,2024-09-30,81792249.5,0.1109,0.3070816272520201,2.319999933242798,2.4000000953674316,0.07429937576278682,0.10519081634451453,0.030451996278041127,5.403571190152849,8.285714047295706,0.9666666004392862,0.3478448375953225
IHL.bk,SET,2025-02-05,Auto Parts,Consumer Cyclical,2849707520.0,0.024,0.027139999,0.59772646,104.197,0.03573,0.912,0.05,2179453000.0,-236099000.0,153626361.0,2024-09-30,5871500.0,0.051,0.11529929213479605,1.6399999856948853,2.0199999809265137,0.05390951875650733,0.07905217525988574,0.0020603868848968754,32.3199997138977,32.799999713897705,0.8118811887031139,0.014634146469111674
III.bk,SET,2025-02-05,Integrated Freight & Logistics,Industrials,4440273920.0,0.063,0.33505002,0.98912376,17.564,0.19879,0.737,0.89,4292139631.0,-195535330.0,50936970.0,2024-09-30,21903638.0,0.0414,0.7246658741559607,4.920000076293945,4.893805503845215,0.011471582816224095,0.012433949255866878,0.0049329474700515775,5.4573034565100516,5.528089973363984,1.0053525977745026,0.012804877850216535
ILINK.bk,SET,2025-02-05,Communication Equipment,Technology,9703717888.0,1.683,0.07906,0.7057257,80.007,0.12636,1.321,1.04,5959655633.0,1908984213.0,980212908.0,2024-09-30,-47477450.5,0.1017,1.1648550227509735,5.25,5.5,0.1010141596564931,0.12457208960939906,-0.004892707212635735,3.4298076923076923,5.0480769230769225,0.9545454545454546,0.32057142857142856
ILM.bk,SET,2025-02-05,"Furnishings, Fixtures & Appliances",Consumer Cyclical,12429389824.0,0.289,0.07827,1.2530692,66.542,0.13044,0.996,1.55,9879590000.0,-91530000.0,1144009796.0,2024-09-30,-3345500.0,0.0926,0.9285574281287738,14.699999809265137,16.260173797607422,0.0920407045075554,0.11687809392259549,-0.0002691604372678174,9.297419231783959,9.483870844687186,0.9040493657840327,0.019659864200668127
